level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	10	3	576	1330	94	38	93.297951	with
5	1	1	1	10	4	688	1333	215	35	91.832878	“CodSoft”.
5	1	1	1	10	5	920	1333	69	35	96.511909	We
5	1	1	1	10	6	1006	1335	40	33	93.292770	at
5	1	1	1	10	7	1062	1333	161	35	92.634628	CodSoft
5	1	1	1	10	8	1238	1341	66	27	96.315254	are
5	1	1	1	10	9	1322	1330	150	38	96.184601	excited
5	1	1	1	10	10	1490	1330	87	38	96.780540	that
5	1	1	1	10	11	1592	1341	75	36	96.970642	you
5	1	1	1	10	12	1685	1330	72	37	96.273109	will
5	1	1	1	10	13	1771	1332	80	45	95.968575	join
5	1	1	1	10	14	1869	1341	73	27	95.931107	our
5	1	1	1	10	15	1956	1335	123	33	96.476006	team.
4	1	1	1	11	0	150	1435	2134	47	-1	
5	1	1	1	11	1	150	1435	79	38	96.894035	The
5	1	1	1	11	2	246	1435	182	38	96.170067	duration
5	1	1	1	11	3	446	1435	43	38	96.891769	of
5	1	1	1	11	4	502	1435	70	38	96.664909	the
5	1	1	1	11	5	590	1435	217	47	96.417450	internship
5	1	1	1	11	6	823	1435	72	37	96.058304	will
5	1	1	1	11	7	914	1435	49	38	96.117905	be
5	1	1	1	11	8	980	1435	43	38	95.728439	of
5	1	1	1	11	9	1036	1438	25	34	95.728439	4
5	1	1	1	11	10	1076	1435	150	45	96.770752	weeks,
5	1	1	1	11	11	1244	1437	164	45	96.209625	starting
5	1	1	1	11	12	1423	1435	101	38	95.544899	from
5	1	1	1	11	13	1543	1440	46	33	96.905670	15
5	1	1	1	11	14	1602	1438	79	43	96.060623	July
5	1	1	1	11	15	1695	1440	98	33	96.060623	2024
5	1	1	1	11	16	1806	1443	42	30	96.923569	to
5	1	1	1	11	17	1864	1440	45	33	96.807213	15
5	1	1	1	11	18	1923	1440	143	41	96.190468	August
5	1	1	1	11	19	2080	1440	110	33	96.507301	2024.
5	1	1	1	11	20	2205	1435	79	38	96.873520	The
4	1	1	1	12	0	153	1506	1988	47	-1	
5	1	1	1	12	1	153	1506	217	47	96.532303	internship
5	1	1	1	12	2	388	1508	28	36	96.672615	is
5	1	1	1	12	3	433	1517	49	27	96.071152	an
5	1	1	1	12	4	499	1506	253	38	96.146973	educational
5	1	1	1	12	5	769	1508	261	45	96.310173	opportunity
5	1	1	1	12	6	1044	1506	61	38	95.842224	for
5	1	1	1	12	7	1119	1517	75	36	96.334412	you
5	1	1	1	12	8	1215	1506	127	38	96.131798	hence
5	1	1	1	12	9	1358	1506	69	38	95.621742	the
5	1	1	1	12	10	1446	1508	169	45	95.621742	primary
5	1	1	1	12	11	1628	1506	114	38	96.137917	focus
5	1	1	1	12	12	1759	1508	28	36	94.939484	is
5	1	1	1	12	13	1804	1517	51	27	95.888542	on
5	1	1	1	12	14	1875	1506	174	47	95.888542	learning
5	1	1	1	12	15	2064	1506	77	38	96.748550	and
4	1	1	1	13	0	152	1577	2117	47	-1	
5	1	1	1	13	1	152	1577	238	47	96.539421	developing
5	1	1	1	13	2	408	1588	88	27	96.483284	new
5	1	1	1	13	3	512	1577	100	38	96.198067	skills
5	1	1	1	13	4	629	1577	76	38	96.804924	and
5	1	1	1	13	5	723	1579	155	45	96.276245	gaining
5	1	1	1	13	6	896	1577	198	38	96.324219	hands-on
5	1	1	1	13	7	1114	1577	246	47	96.646126	knowledge.
5	1	1	1	13	8	1377	1580	69	35	96.690018	We
5	1	1	1	13	9	1465	1577	151	38	96.558632	believe
5	1	1	1	13	10	1632	1577	87	38	95.964775	that
5	1	1	1	13	11	1735	1588	75	36	96.662987	you
5	1	1	1	13	12	1828	1577	71	37	96.667618	will
5	1	1	1	13	13	1919	1577	172	47	96.583839	perform
5	1	1	1	13	14	2110	1577	45	38	96.583839	all
5	1	1	1	13	15	2172	1588	97	36	96.600594	your
4	1	1	1	14	0	151	1647	317	49	-1	
5	1	1	1	14	1	151	1647	317	49	92.344688	tasks/projects.
4	1	1	1	15	0	151	1753	2143	47	-1	
5	1	1	1	15	1	151	1756	49	35	95.267067	As
5	1	1	1	15	2	217	1764	49	27	92.791405	an
5	1	1	1	15	3	284	1755	140	43	92.791405	intern,
5	1	1	1	15	4	440	1764	62	27	95.435509	we
5	1	1	1	15	5	519	1758	142	42	96.193344	expect
5	1	1	1	15	6	676	1764	75	36	96.431488	you
5	1	1	1	15	7	769	1758	43	33	96.611008	to
5	1	1	1	15	8	831	1753	172	47	96.611008	perform
5	1	1	1	15	9	1021	1753	45	38	96.752975	all
5	1	1	1	15	10	1084	1753	184	47	96.121391	assigned
5	1	1	1	15	11	1285	1753	107	38	96.636726	tasks
5	1	1	1	15	12	1408	1758	42	33	96.756142	to
5	1	1	1	15	13	1466	1753	70	38	96.741280	the
5	1	1	1	15	14	1555	1753	88	38	96.438904	best
5	1	1	1	15	15	1659	1753	44	38	96.731598	of
5	1	1	1	15	16	1715	1764	98	36	96.608101	your
5	1	1	1	15	17	1828	1753	132	47	96.608101	ability
5	1	1	1	15	18	1975	1753	76	38	96.955620	and
5	1	1	1	15	19	2069	1753	133	38	96.342903	follow
5	1	1	1	15	20	2218	1764	76	36	96.616264	any
4	1	1	1	16	0	154	1825	1121	47	-1	
5	1	1	1	16	1	154	1825	127	38	96.514008	lawful
5	1	1	1	16	2	299	1825	76	38	96.634491	and
5	1	1	1	16	3	396	1825	236	38	95.835091	reasonable
5	1	1	1	16	4	650	1827	253	36	96.775467	instructions
5	1	1	1	16	5	922	1825	187	47	96.374672	provided
5	1	1	1	16	6	1126	1830	43	33	96.744301	to
5	1	1	1	16	7	1185	1836	90	36	96.744301	you.
4	1	1	1	17	0	151	1929	2059	47	-1	
5	1	1	1	17	1	151	1932	69	35	92.305931	We
5	1	1	1	17	2	237	1940	66	27	92.305931	are
5	1	1	1	17	3	321	1929	205	38	96.370285	confident
5	1	1	1	17	4	541	1929	88	38	96.795746	that
5	1	1	1	17	5	644	1929	77	38	96.564644	this
5	1	1	1	17	6	738	1929	218	47	96.757477	internship
5	1	1	1	17	7	971	1929	72	37	96.595901	will
5	1	1	1	17	8	1063	1929	48	38	96.518280	be
5	1	1	1	17	9	1128	1940	20	27	96.563118	a
5	1	1	1	17	10	1165	1929	181	38	96.350174	valuable
5	1	1	1	17	11	1363	1931	236	45	96.297058	experience
5	1	1	1	17	12	1616	1929	60	38	96.622551	for
5	1	1	1	17	13	1691	1940	89	36	96.374725	you,
5	1	1	1	17	14	1797	1940	61	27	96.976242	we
5	1	1	1	17	15	1878	1929	89	38	96.722862	look
5	1	1	1	17	16	1981	1929	168	38	96.448288	forward
5	1	1	1	17	17	2167	1934	43	33	96.448288	to
4	1	1	1	18	0	151	2001	1320	47	-1	
5	1	1	1	18	1	151	2001	174	47	96.504120	working
5	1	1	1	18	2	340	2001	93	38	96.389999	with
5	1	1	1	18	3	450	2012	75	36	96.389999	you
5	1	1	1	18	4	544	2001	76	38	96.165840	and
5	1	1	1	18	5	641	2001	157	47	96.165840	helping
5	1	1	1	18	6	813	2012	75	36	96.838699	you
5	1	1	1	18	7	907	2001	162	38	96.710182	achieve
5	1	1	1	18	8	1086	2012	97	36	96.624115	your
5	1	1	1	18	9	1199	2012	136	27	96.328888	career
5	1	1	1	18	10	1349	2001	122	47	96.493004	goals.
4	1	1	1	19	0	154	2105	2172	47	-1	
5	1	1	1	19	1	154	2108	49	44	96.468086	By
5	1	1	1	19	2	218	2107	208	45	96.394875	accepting
5	1	1	1	19	3	440	2105	77	38	96.505562	this
5	1	1	1	19	4	534	2105	109	45	96.388428	offer,
5	1	1	1	19	5	659	2116	76	36	94.504555	you
5	1	1	1	19	6	754	2107	163	36	95.865959	commit
5	1	1	1	19	7	933	2110	42	33	95.865959	to
5	1	1	1	19	8	992	2107	208	45	96.200241	executing
5	1	1	1	19	9	1215	2105	184	47	96.565353	assigned
5	1	1	1	19	10	1417	2105	106	38	96.453369	tasks
5	1	1	1	19	11	1540	2105	198	47	96.301384	diligently
5	1	1	1	19	12	1753	2105	76	38	96.682129	and
5	1	1	1	19	13	1848	2107	187	45	96.174545	ensuring
5	1	1	1	19	14	2050	2105	224	38	95.902542	excellence
5	1	1	1	19	15	2292	2107	34	35	95.901207	in
4	1	1	1	20	0	152	2177	528	47	-1	
5	1	1	1	20	1	152	2177	45	38	96.904007	all
5	1	1	1	20	2	215	2182	161	42	96.129333	aspects
5	1	1	1	20	3	392	2177	44	38	96.744522	of
5	1	1	1	20	4	448	2188	98	36	96.465919	your
5	1	1	1	20	5	560	2177	120	38	96.334946	work.
4	1	1	1	21	0	154	2282	272	38	-1	
5	1	1	1	21	1	154	2285	89	35	96.485001	Best
5	1	1	1	21	2	259	2282	44	38	96.631447	of
5	1	1	1	21	3	319	2282	107	38	96.313004	Luck!
4	1	1	1	22	0	150	2386	246	38	-1	
5	1	1	1	22	1	150	2386	137	38	96.277176	Thank
5	1	1	1	22	2	300	2386	96	38	96.300270	You!
4	1	1	1	23	0	833	2724	1258	68	-1	
5	1	1	1	23	1	833	2728	91	48	0.000000	COP
5	1	1	1	23	2	944	2724	123	53	0.000000	RSS
5	1	1	1	23	3	1475	2726	84	61	29.706169	hl
5	1	1	1	23	4	1577	2726	43	39	36.046951	IF
5	1	1	1	23	5	1627	2741	46	51	36.046951	/¢
5	1	1	1	23	6	2005	2738	86	52	0.000000	Bieihn.
4	1	1	1	24	0	345	2832	2021	119	-1	
5	1	1	1	24	1	345	2832	58	119	26.288857	\,
5	1	1	1	24	2	798	2860	53	52	86.264946	©
5	1	1	1	24	3	871	2862	231	50	91.517410	CodSoft
5	1	1	1	24	4	1424	2874	26	24	60.189354	*
5	1	1	1	24	5	1500	2836	144	55	5.353470	Grad
5	1	1	1	24	6	2016	2861	58	77	7.479553	7)
5	1	1	1	24	7	2185	2880	181	26	38.647667	SHS
4	1	1	1	25	0	201	2902	2163	35	-1	
5	1	1	1	25	1	201	2904	42	29	67.286774	vwy
5	1	1	1	25	2	315	2903	39	33	26.148335	We
5	1	1	1	25	3	1502	2902	138	30	96.345276	9001-2015
5	1	1	1	25	4	2012	2907	69	30	0.000000	))
5	1	1	1	25	5	2121	2913	243	8	0.000000	———
4	1	1	1	26	0	312	2930	2051	83	-1	
5	1	1	1	26	1	312	2951	3	1	0.000000	:
5	1	1	1	26	2	809	2932	278	81	50.881142	NA
5	1	1	1	26	3	1459	2970	31	33	4.571877	e
5	1	1	1	26	4	1645	2970	32	35	87.616310	A
5	1	1	1	26	5	2003	2939	82	53	17.318201	(i
5	1	1	1	26	6	2123	2930	240	60	17.039061	tere
4	1	1	1	27	0	833	2989	818	55	-1	
5	1	1	1	27	1	833	2994	228	56	14.118795	Grats
5	1	1	1	27	2	1486	2989	165	55	43.924034	Oupyr
4	1	1	1	28	0	154	3094	2148	58	-1	
5	1	1	1	28	1	154	3099	197	40	96.403084	Founder
5	1	1	1	28	2	368	3094	221	58	91.260979	(CodSoft)
5	1	1	1	28	3	2039	3114	96	25	92.659424	MSME
5	1	1	1	28	4	2147	3112	155	33	95.993645	Registered
4	1	1	1	29	0	74	3230	2305	91	-1	
5	1	1	1	29	1	74	3237	55	55	91.515221	@
5	1	1	1	29	2	145	3230	448	44	91.585060	www.codsoft.in
5	1	1	1	29	3	2162	3268	217	53	0.000000	Oa
4	1	1	1	30	0	68	3291	2303	66	-1	
5	1	1	1	30	1	68	3311	61	45	66.347755	M
5	1	1	1	30	2	149	3304	550	53	66.347755	contact@codsoft.in
5	1	1	1	30	3	2192	3291	149	60	17.499628	Ne
5	1	1	1	30	4	2364	3343	7	8	25.675287	ee
4	1	1	1	31	0	2215	3388	164	38	-1	
5	1	1	1	31	1	2215	3396	15	15	28.584595	el
4	1	1	1	32	0	2162	3426	217	59	-1	
5	1	1	1	32	1	2162	3432	53	53	50.281887	OB
5	1	1	1	32	2	2281	3426	98	59	19.110203	aoa
